gene,mutated_samples,dcb_mutated,dcb_wildtype,no_dcb_mutated,no_dcb_wildtype,dcb_mutation_fraction,no_dcb_mutation_fraction,odds_ratio_dcb,p_value,flag_gene,biology_panel,frequency_tier,q_value
TIGIT,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,Immune signaling,low_frequency,0.8124185882767119
TMCO6,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
TOP1MT,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
TOP2A,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
TRAP1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
TRIP11,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
UIMC1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
USP16,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
WDR35,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
XRCC6,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
YTHDF1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
ZNF540,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
ZNF606,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
ZNFX1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
ZSCAN22,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
ALDH5A1,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
BICD1,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
CBLN2,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
CDK12,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
CDON,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
CLUH,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
F7,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
FGG,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
GABRA6,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
GTF2IRD1,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
GTF3C1,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
KBTBD8,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
MARVELD2,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
NOS3,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
OR8B3,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
RFC1,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
SCYL2,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
SLC39A5,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
SRRT,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
SUPT16H,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
TAP2,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
TDRD10,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
TNRC6C,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
